Norma,Data de publicação,Ementa,Órgão de origem,Assuntos,Texto Integral,Tipo,Filename
INA - INSTRUÇÃO ADMINISTRATIVA 002/2015,05/05/2015,"Define os procedimentos gerais para administradores de serviços na utilização dos ativos de tecnologia da informação, em atendimento às Diretrizes Básicas da Política de Segurança da Informação e Comunicações da Agência, a serem observados no âmbito da Agência Nacional de Energia Elétrica - ANEEL, conforme detalhados nos Anexos I e II.",SGI/ANEEL,"Determinação 
 ",http://www2.aneel.gov.br/cedoc/ina2015002sgi.pdf,INA,ina2015002sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 003/2015,25/06/2015,"Aprova a Política de Desenvolvimento de Coleções elaborada pela equipe do Cedoc, que dispõe sobre as regras técnicas a serem adotadas para incorporação e retirada de livros, periódicos e materiais especiais do acervo da Biblioteca da Aneel.",SGI/ANEEL,"Aprovação 
 ",http://www2.aneel.gov.br/cedoc/ina2015003sgi.pdf,INA,ina2015003sgi.pdf
RES - RESOLUÇÃO CONJUNTA 005/2016,27/04/2016,Estabelece condições e procedimentos a serem observados pelas distribuidoras de energia elétrica para fornecimento de informações de unidades consumidoras que desenvolvam atividades de irrigação ou aquicultura para a Agência Nacional de Águas - ANA.,ANEEL/ANA,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res2016005cj.pdf,RES,res2016005cj.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 004/2015,29/12/2015,Estabelece os procedimentos referentes à participação de servidores em ações de capacitação no exterior promovidas pela ANEEL.,SRH/ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ina2015004srh.pdf,INA,ina2015004srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 002/2014,20/10/2014,Aprova a estrutura de processos e subprocessos organizacionais da Superintendência de Regulação Econômica – SRE.,SRE/ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/ina2014002sre.pdf,INA,ina2014002sre.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 005/2015,29/12/2015,"Estabelece os procedimentos referentes à concessão de incentivo educacional destinado a servidor da ANEEL interessado em participar de cursos de idiomas, de graduação ou de pós-graduação.",SRH/ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ina2015005srh.pdf,INA,ina2015005srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2013,01/04/2013,Dispõe sobre os procedimentos necessários para o uso adequado da rede local sem fio disponibilizada no complexo ANEEL/CPRM/ANP.,SGI/ANEEL,"Procedimento 
 ",http://www.aneel.gov.br/cedoc/ina2013001sgi.pdf,INA,ina2013001sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 003/2014,20/10/2014,"Institui, no âmbito dos processos conduzidos pela Superintendência de Regulação Econômica – SRE, a utilização de Procedimentos Operacionais Padrão – POPs.",SRE/ANEEL,"Determinação 
 ",http://www.aneel.gov.br/cedoc/ina2014003sre.pdf,INA,ina2014003sre.pdf
RES - RESOLUÇÃO CONJUNTA 004/2014,30/12/2014,"Aprova o preço de referência para o compartilhamento de postes entre distribuidoras de energia elétrica e prestadoras de serviços de telecomunicações, a ser utilizado nos processos de resolução de conflitos, e estabelece regras para uso e ocupação dos Pontos de Fixação.",ANATEL/ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res2014004cj.pdf,RES,res2014004cj.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2011,30/06/2011,"Institui procedimentos relacionados ao Serviço de Saúde Ocupacional (SSO) com o objetivo de promover serviços de atenção à saúde e segurança no trabalho e de vigilância, ações de prevenção e promoção à saúde para os servidores da ANEEL.",SRH/ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ina2011001srh.pdf,INA,ina2011001srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 002/2011,29/11/2011,"Altera os artigos 9º, 19, 19-A, 20 e 21; revoga os parágrafos 1º e 2º do art. 9º, os parágrafos 1º, 2º, 3º, 4º e 5º do art. 19, os parágrafos 1º e 2º do art. 19-A, art. 20, art. 21 e o Anexo I da Instrução Administrativa ANEEL 001 de 27.08.2009.",SRH/ANEEL,"Alteração 
 ",http://www.aneel.gov.br/cedoc/ina2011002srh.pdf,INA,ina2011002srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2010,15/06/2010,Altera o artigo 19 da Instrução Administrativa ANEEL 001 de 27.08.2009.,SRH/ANEEL,"Alteração 
 ",http://www.aneel.gov.br/cedoc/ina2010001srh.pdf,INA,ina2010001srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2008,20/11/2008,"Aprova o Manual de Indexação da Legislação de Interesse do Setor Elétrico, referente aos procedimentos no tratamento técnico e disponibilização na Internet, dos atos legais, a serem observados no âmbito da ANEEL.",SGI/ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/ina2008001sgi.pdf,INA,ina2008001sgi.pdf
RES - RESOLUÇÃO CONJUNTA 003/2010,20/10/2010,"Estabelecer as condições e os procedimentos a serem observados pelos concessionários e autorizados de geração de energia hidrelétrica para a instalação, operação e manutenção de estações hidrométricas visando ao monitoramento pluviométrico, limnimétrico, fluviométrico, sedimentométrico e de qualidade da água associado a aproveitamentos hidrelétricos.",ANEEL/ANA,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res2010003cj.pdf,RES,res2010003cj.pdf
RES - RESOLUÇÃO 001/2004,16/01/2004,Estabelece critérios para classificação e numeração das Resoluções emitidas pela ANEEL.,ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res2004001.pdf,RES,res2004001.pdf
RES - RESOLUÇÃO 004/2000,14/01/2000,"Autoriza a Companhia Energética do Amazonas - CEAM a ampliar a capacidade instalada da central geradora Usina Termelétrica Humaitá, no município de Humaitá, (AM).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000004.pdf,RES,res2000004.pdf
RES - RESOLUÇÃO 001/2000,04/01/2000,Homologa as tarifas de fornecimento e suprimento para a Companhia de Eletricidade do Rio de Janeiro - CERJ.,ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res2000001.pdf,RES,res2000001.pdf
RES - RESOLUÇÃO CONJUNTA 001/1999,25/11/1999,"Aprova o Regulamento Conjunto para Compartilhamento de Infra - Estrutura entre os Setores de Energia Elétrica, Telecomunicações e Petróleo.",ANEEL/ANATEL/ANP,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res1999001cj.pdf,RES,res1999001cj.pdf
RES - RESOLUÇÃO 003/2001,11/01/2001,"Autoriza a AES Força Empreendimentos Ltda, a estabelecer-se como Produtor Independente de Energia Elétrica, mediante a exploração do potencial hidráulico  Pequena Central Hidrelétrica Paes Leme, no rio Bananal, município de Passa Vinte, (MG), para comercialização da energia elétrica produzida.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2001003.pdf,RES,res2001003.pdf
RES - RESOLUÇÃO 004/1999,07/01/1999,"Aprova os estudos de viabilidade, apresentados pela Valesul Alumínio, relativos aos aproveitamentos hidrelétricos Usina Hidrelétrica Monte Serrat e Usina Hidrelétrica Bonfante, nos municípios de Simão Pereira e Levy Gasparian, (MG).",ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res1999004.pdf,RES,res1999004.pdf
RES - RESOLUÇÃO CONJUNTA 002/2001,29/03/2001,"Aprova o Regulamento Conjunto de Resolução de Conflitos das Agências Reguladoras dos Setores de Energia Elétrica ( ANEEL), Telecomunicações (ANATEL) e Petróleo (ANP), bem como altera o Regulamento Conjunto para Compartilhamento de Infra - Estrutura entre os Setores de Energia Elétrica, Telecomunicações e Petróleo, anexo à Resolução Conjunta ANEEL/ANATEL/ANP 001 de 24.11.1999.",ANEEL/ANATEL/ANP,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res2001002cj.pdf,RES,res2001002cj.pdf
RES - RESOLUÇÃO 005/2000,14/01/2000,"Autoriza a Companhia Energética do Amazonas - CEAM a ampliar a capacidade instalada da central geradora Usina Termelétrica Coari, no município de Coari, (AM).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000005.pdf,RES,res2000005.pdf
RES - RESOLUÇÃO 002/2001,11/01/2001,"Autoriza a AES Força Empreendimentos Ltda, a estabelecer-se como Produtor Independente de Energia Elétrica, mediante a exploração do potencial hidráulico Pequena Central Hidrelétrica Congonhal 1, no rio Jacu, município de Baependi, (MG), para comercialização da energia elétrica produzida.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2001002.pdf,RES,res2001002.pdf
RES - RESOLUÇÃO 003/2000,14/01/2000,"Autoriza a Companhia Energética do Amazonas - CEAM a ampliar a capacidade instalada da central geradora Usina Termelétrica Tefé, no município de Tefé, (AM).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000003.pdf,RES,res2000003.pdf
RES - RESOLUÇÃO 001/1998,12/01/1998,"Fixa, a título provisório, as tarifas de repasse dos suprimentos efetuados por FURNAS Centrais Elétricas S.A e Centrais Elétricas do Sul do Brasil S.A - ELETROSUL aos concessionários por elas supridos, com energia oriunda de ITAIPU Binacional.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res1998001.pdf,RES,res1998001.pdf
RES - RESOLUÇÃO 003/1999,07/01/1999,"Autoriza a LIGHT Serviços de Eletricidade S.A  a desvincular de seu acervo patrimonial, para alienar a terceiros, bem imóvel no bairro do Jardim Botânico, município do Rio de Janeiro, (RJ).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res1999003.pdf,RES,res1999003.pdf
RES - RESOLUÇÃO 002/2000,13/01/2000,"Autoriza a Companhia de Interconexão Energética - CIEN, a comercializar energia elétrica no âmbito do Mercado Atacadista de Energia Elétrica - MAE.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000002.pdf,RES,res2000002.pdf
RES - RESOLUÇÃO 005/1998,14/01/1998,"Aprova os projetos básicos apresentados pela Centrais Elétricas do Norte do Brasil - ELETRONORTE, relativos as subestações e linhas de transmissão, localizadas no município de Boa Vista, (RR).",ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/res1998005.pdf,RES,res1998005.pdf
RES - RESOLUÇÃO 002/1999,07/01/1999,"Declara de utilidade pública, para fins de instituição de servidão administrativa, em favor da Companhia Energética de São Paulo - CESP, área de terra nos municípios de Rosana, Teodoro Sampaio, Mirante do Paranapanema e Sandovalina, (SP).",ANEEL,"Declaração 
 ",http://www.aneel.gov.br/cedoc/res1999002.pdf,RES,res1999002.pdf
RES - RESOLUÇÃO 002/1998,13/01/1998,"Fixa os valores da Taxa de Fiscalização de Serviços de Energia Elétrica, relativa ao mês de dezembro de 1997, para os concessionários do serviço público de energia elétrica e fixa os valores das parcelas do mês de dezembro, relativas á quota anual da Reserva Global de Reversão - RGR, do exercício de 1997; e revoga Resolução ANEEL 016, de 24.12.1997.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res1998002.pdf,RES,res1998002.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 007/2015,12/08/2019,Dispõe sobre o processo de contratação de Soluções de Tecnologia da Informação da ANEEL.,SGI/ANEEL,"Fixação 
 ",http://www2.aneel.gov.br/cedoc/ina2015007sgi.pdf,INA,ina2015007sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 006/2015,29/12/2015,Estabelece os procedimentos referentes à concessão de licença para capacitação no âmbito da ANEEL.,SRH/ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ina2015006srh.pdf,INA,ina2015006srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 008/2016,29/02/2016,"Consolida e detalha critérios, procedimentos e prazos previstos na legislação que constituem como condição para o aceite de atestados de saúde e declarações de comparecimento a exames, consultas e procedimentos de saúde; para a concessão de licença para tratamento da saúde, licença por motivo de doença em pessoa da família, licença à gestante, licença a adotante e licença paternidade aos servidores da ANEEL; e revoga a Instrução Administrativa ANEEL 001 de 20.08.2015, e o art. 19 da Instrução Administrativa 001 de 27.08.2009, bem como, Memorando Circular SRH/ANEEL 003 de 2015 e o item ""C"" do Memorando Circular SRH/ANEEL 001 de 2015.",SRH/ANEEL,"Consolidação 
 ",http://www.aneel.gov.br/cedoc/ina2016008srh.pdf,INA,ina2016008srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 008/2015,14/12/2015,Define os procedimentos gerais para disponibilização dos certificados digitais e dispositivos criptográficos no âmbito da Agência Nacional de Energia Elétrica – ANEEL.,SGI/ANEEL,"Determinação 
 ",http://www2.aneel.gov.br/cedoc/ina2015008sgi.pdf,INA,ina2015008sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 009/2016,23/03/2016,"Institui procedimentos administrativos a serem observados em Grupos de Autogestão que venham a ser criados na ANEEL, no âmbito do Programa de Qualidade de Vida da ANEEL.",SRH/ANEEL,"Procedimento administrativo 
 ",http://www2.aneel.gov.br/cedoc/ina2016009srh.pdf,INA,ina2016009srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 010/2016,06/04/2016,"Estabelece os procedimentos referentes à concessão de afastamento para participar em programa de pós-graduação stricto sensu no País ou no Exterior, com base nos artigos 95 e 96-A da Lei 8.112 de 11.12. 1990, bem como, revoga a Instrução Administrativa ANEEL 003 de 29.12.2015.

 ",SRH/ANEEL,"Fixação 
 ",http://www2.aneel.gov.br/cedoc/ina2016010srh.pdf,INA,ina2016010srh.pdf
RES - RESOLUÇÃO 006/2000,14/01/2000,"Autoriza a CAT - LEO Energia Ltda a estabelecer-se como produtor independente de energia elétrica, mediante o aproveitamento do potencial hidráulico da central geradora Pequena Central Hidrelétrica Guary, no rio Pinho, município de Santos Dumont, (MG).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000006.pdf,RES,res2000006.pdf
RES - RESOLUÇÃO 007/2002,10/01/2002,Anui à proposta de transferência de ações e alteração do controle acionário direto da Companhia de Eletricidade do Rio de Janeiro - CERJ.,ANEEL,"Anuência 
 ",http://www.aneel.gov.br/cedoc/res2002007.pdf,RES,res2002007.pdf
RES - RESOLUÇÃO 006/1998,14/01/1998,"Prorroga o prazo concedido pela Portaria DNAEE 414 de 19.11.1996, que autorizou a Monteiro Aranha S.A e a Serviços Especializados de Consultoria Ltda - SEC, a elaborarem os estudos de viabilidade do aproveitamento hidrelétrico Usina Hidrelétrica Santa Rosa II, no rio Grande, município de Bom Jardim, (RJ).",ANEEL,"Prorrogação de prazo 
 ",http://www.aneel.gov.br/cedoc/res1998006.pdf,RES,res1998006.pdf
RES - RESOLUÇÃO 007/2000,14/01/2000,"Autoriza a CAT - LEO Energia Ltda, a estabelecer-se como produtor independente de energia elétrica mediante o aproveitamento do potencial hidráulico da central geradora Pequena Central Hidrelétrica Anna Maria, no rio Pinho, município de Santos Dumont, (MG).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000007.pdf,RES,res2000007.pdf
RES - RESOLUÇÃO 010/2003,09/01/2003,"Autoriza a Ferro Ligas Piracicaba Ltda, a estabelecer-se como Produtor Independente de Energia Elétrica, mediante a exploração do potencial hidráulico Pequena Central Hidrelétrica Luiz Queiroz, no rio Piracicaba, município de Piracicaba, (SP), para comercialização da energia elétrica produzida, bem como extingue a concessão outorgada pelo Decreto 72.323 de 31.05.1973.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2003010.pdf,RES,res2003010.pdf
RES - RESOLUÇÃO 008/2000,14/01/2000,Altera data limite para assinatura dos Contratos de Conexão ao Sistema de Transmissão - CCT.,ANEEL,"Alteração 
 ",http://www.aneel.gov.br/cedoc/res2000008.pdf,RES,res2000008.pdf
RES - RESOLUÇÃO 010/2002,16/01/2002,"Autoriza a Usina Coruripe Açúcar e Álcool S.A - Filial Campo Florido, a estabelecer-se como Produtor Independente de Energia Elétrica, mediante a implantação da central geradora termelétrica Campo Florido, no município de Campo Florido, (MG), para comercialização da energia elétrica produzida.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2002010.pdf,RES,res2002010.pdf
RES - RESOLUÇÃO 007/1998,14/01/1998,"Homologa o instrumento definitivo de parceria apresentado pela Centrais Elétricas do Norte do Brasil - ELETRONORTE, formalizado em contrato de constituição de consórcio entre os Produtores Energéticos de Manso S.A - PROMAN, e a ELETRONORTE, objetivando a conclusão do Aproveitamento Múltiplo de Manso.",ANEEL,"Homologação 
 ",http://www.aneel.gov.br/cedoc/res1998007.pdf,RES,res1998007.pdf
RES - RESOLUÇÃO 008/1998,14/01/1998,"Transfere para a Serra da Mesa Energia S.A a concessão para o aproveitamento hidráulico de trecho do rio São Luiz, outorgada à Companhia Hidroelétrica do Rio São Luiz - CIRILUX e aprova a incorporação da Companhia de Energia Semesa pela Serra da Mesa Energia S.A.",ANEEL,"Transferência 
 ",http://www.aneel.gov.br/cedoc/res1998008.pdf,RES,res1998008.pdf
RES - RESOLUÇÃO 010/2000,14/01/2000,"Autoriza a Centrais Elétricas do Norte do Brasil S.A - ELETRONORTE, a ampliar a capacidade instalada da central geradora Usina Termelétrica Santana, no município de Santana, (AP).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/RES2000010.PDF,RES,RES2000010.PDF
RES - RESOLUÇÃO 009/2003,09/01/2003,"Revoga a autorização concedida a S.A Usina Coruripe Açúcar e Álcool, pela Resolução ANEEL 130 de 03.05.2000, relativa a exploração da central geradora termelétrica Iturama, no município de Iturama, (MG).",ANEEL,"Revogação 
 ",http://www.aneel.gov.br/cedoc/res2003009.pdf,RES,res2003009.pdf
RES - RESOLUÇÃO 010/1999,21/01/1999,"Declara de utilidade pública, para fins de desapropriação, em favor da Centrais Elétricas do Norte do Brasil S.A -  ELETRONORTE, área de terra necessária a implantação do APM Manso, aprovada pela Portaria DNAEE 048 de 26.03.1991.",ANEEL,"Declaração 
 ",http://www.aneel.gov.br/cedoc/res1999010.pdf,RES,res1999010.pdf
RES - RESOLUÇÃO 010/1998,19/01/1998,Autoriza o afastamento do País de funcionários para participação de treinamento técnico no Exterior.,ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res1998010.pdf,RES,res1998010.pdf
RES - RESOLUÇÃO 009/2000,14/01/2000,"Autoriza para fins de regularização, a Companhia Energética do Amazonas - CEAM a ampliar a capacidade instalada da central geradora Usina Termelétrica Maués, no município de Maués, (AM).",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2000009.pdf,RES,res2000009.pdf
RES - RESOLUÇÃO 009/1998,14/01/1998,"Autoriza a Empresa Produtora de Energia Ltda - EPE, a estabelecer-se como Produtor Independente de Energia Elétrica, mediante a implantação da Usina Termelétrica Cuiabá, no município de Cuiabá, (MT), destinada a comercialização da energia elétrica produzida.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res1998009.pdf,RES,res1998009.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 011/2016,06/04/2016,"Estabelece os requisitos e procedimentos referentes à participação de servidores da ANEEL em cursos de pós-graduação lato e stricto sensu, bem como, revoga a Instrução Administrativa ANEEL 007 de 29.12.2015.",SRH/ANEEL,"Fixação 
 ",http://www2.aneel.gov.br/cedoc/ina2016011srh.pdf,INA,ina2016011srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 012/2016,29/07/2016,"Altera procedimentos administrativos referentes à participação de servidores em cursos abertos e fechados do Programa de Formação e Aperfeiçoamento, do Programa de Capacitação no Exterior, da Licença para Capacitação e do Programa de Pós-Graduação.",SRH/ANEEL,"Alteração 
 ",http://www2.aneel.gov.br/cedoc/ina2016012srh.pdf,INA,ina2016012srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 014/2016,27/10/2016,"Altera a Instrução Administrativa ANEEL 005, de 23.12.2015, referentes à participação de servidores no Programa de Incentivo Educacional; e revoga a Instrução Administrativa ANEEL 013, de 14.10.2016.",SRH/ANEEL,"Alteração 
 ",http://www2.aneel.gov.br/cedoc/ina2016014srh.pdf,INA,ina2016014srh.pdf
RES - RESOLUÇÃO 012/2003,09/01/2003,"Declara de utilidade pública, para instituição de servidão administrativa, áreas de terras necessárias à passagem da Linha de Transmissão Subestação Acarapé - Subestação Baturité, nos municípios de Acarapé, Araçoiaba e Baturité, (CE) em favor da Companhia Energética do Estado do Ceará - COELCE.",ANEEL,"Declaração 
 ",http://www.aneel.gov.br/cedoc/res2003012.pdf,RES,res2003012.pdf
RES - RESOLUÇÃO 011/2003,09/01/2003,"Prorroga o prazo de que trata o inciso II do art. 5º da Resolução 017 de 24.01.2001 que autoriza a Rede Comercializadora de Energia S.A, a comercializar energia elétrica no âmbito do Mercado Atacadista de Energia Elétrica - MAE.",ANEEL,"Prorrogação de prazo 
 ",http://www.aneel.gov.br/cedoc/res2003011.pdf,RES,res2003011.pdf
RES - RESOLUÇÃO 012/2002,14/01/2002,"Estabelece as condições gerais para a regularização de cooperativas de eletrificação rural, nos termos do art. 23 da Lei 9.074 de 07.07.1995.",ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/res2002012.pdf,RES,res2002012.pdf
RES - RESOLUÇÃO 011/2002,16/01/2002,"Autoriza a Coruripe Energética S.A, a estabelecer-se como Produtor Independente de Energia Elétrica, mediante a implantação da central geradora termelétrica Coruripe Iturama, no município de Iturama, (MG), para comercialização da energia elétrica produzida.",ANEEL,"Autorização 
 ",http://www.aneel.gov.br/cedoc/res2002011.pdf,RES,res2002011.pdf
